,0,1,2,3
0,639,nHBAcc,3,41
1,3,AMR,3,42
2,611,ETA_Shape_Y,3,52
3,659,MDEC-23,2,0
4,587,LipoaffinityIndex,2,3
5,410,minsOH,2,12
6,406,minsssN,2,13
7,11,nC,2,15
8,476,maxHsOH,2,22
9,56,C1SP2,2,22
10,673,MLFER_A,2,27
11,525,maxsssN,2,29
12,357,minHsOH,2,30
13,26,ATSm1,2,30
14,30,ATSm5,2,30
15,38,BCUTw-1h,2,30
16,104,CrippenMR,2,30
17,411,mindO,2,30
18,530,maxdO,2,30
19,612,ETA_Shape_X,2,30
20,636,ETA_EtaP_B_RC,2,30
21,640,nHBAcc2,2,30
22,648,Kier3,2,30
23,652,MLogP,1,1
24,529,maxsOH,1,3
25,531,maxssO,1,4
26,706,nT6Ring,1,6
27,684,n6Ring,1,7
28,39,BCUTc-1l,1,7
29,42,BCUTp-1h,1,9
30,351,minHBint5,1,9
31,57,C2SP2,1,10
32,585,hmin,1,11
33,228,SwHBa,1,13
34,238,SHsOH,1,13
35,79,VC-5,1,14
36,658,MDEC-22,1,15
37,20,nX,1,15
38,35,ATSp5,1,15
39,96,VP-1,1,15
40,149,ndsCH,1,15
41,170,naasN,1,15
42,249,SHdsCH,1,15
43,264,SsCH3,1,15
44,266,SssCH2,1,15
45,289,SaasN,1,15
46,297,SsF,1,15
47,372,minHCsatu,1,15
48,491,maxHCsatu,1,15
49,590,DELS,1,15
50,593,DELS2,1,15
51,633,ETA_Eta_B,1,15
52,12,nN,1,15
53,89,SP-2,1,15
54,94,SP-7,1,15
55,105,ECCEN,1,15
56,173,ndO,1,15
57,175,naaO,1,15
58,194,nddssS,1,15
59,292,SdO,1,15
60,294,SaaO,1,15
61,313,SddssS,1,15
62,416,minsF,1,15
63,432,minddssS,1,15
64,535,maxsF,1,15
65,617,ETA_Beta_ns,1,15
66,627,ETA_EtaP_F,1,15
67,632,ETA_EtaP_F_L,1,15
68,647,Kier2,1,15
69,23,ATSc3,1,15
70,92,SP-5,1,16
71,716,TopoPSA,1,16
72,269,SaaCH,1,17
73,237,SHBint10,1,17
74,103,CrippenLogP,1,18
75,665,MDEO-12,1,18
76,154,ndssC,1,19
77,661,MDEC-33,1,20
78,131,nHaaCH,1,21
79,727,XLogP,1,21
80,150,naaCH,1,22
81,34,ATSp4,1,23
82,40,BCUTc-1h,1,23
83,233,SHBint6,1,24
84,32,ATSp2,1,25
85,642,nHBAcc_Lipinski,1,25
86,31,ATSp1,1,26
87,291,SsOH,1,26
88,93,SP-6,1,27
89,22,ATSc2,1,27
90,136,nHother,1,28
91,392,mindssC,1,28
92,718,VAdjMat,1,29
93,356,minHBint10,1,29
