,0,1,2,3
0,585,hmin,3,40
1,22,ATSc2,2,18
2,52,nBondsM,2,19
3,615,ETA_Beta_s,2,25
4,88,SP-1,2,26
5,613,ETA_Beta,2,27
6,677,MLFER_E,2,30
7,630,ETA_Eta_R_L,2,30
8,75,SC-5,2,30
9,76,SC-6,2,30
10,80,VC-6,2,30
11,117,nHBint9,2,30
12,192,naaS,2,30
13,236,SHBint9,2,30
14,311,SaaS,2,30
15,465,maxHBa,2,30
16,606,ETA_dEpsilon_D,2,30
17,637,FMF,2,30
18,661,MDEC-33,2,30
19,720,WTPT-1,2,31
20,594,ETA_Alpha,2,32
21,250,SHaaCH,2,33
22,716,TopoPSA,2,35
23,104,CrippenMR,2,40
24,62,C4SP3,2,41
25,89,SP-2,2,42
26,8,nHeavyAtom,2,56
27,675,MLFER_BO,1,0
28,631,ETA_Eta_F_L,1,1
29,674,MLFER_BH,1,1
30,5,naAromAtom,1,2
31,725,WPATH,1,2
32,57,C2SP2,1,3
33,617,ETA_Beta_ns,1,4
34,718,VAdjMat,1,5
35,109,nwHBa,1,6
36,3,AMR,1,7
37,150,naaCH,1,8
38,131,nHaaCH,1,9
39,648,Kier3,1,9
40,31,ATSp1,1,11
41,255,SHother,1,12
42,647,Kier2,1,12
43,136,nHother,1,14
44,646,Kier1,1,14
45,20,nX,1,15
46,36,nBase,1,15
47,91,SP-4,1,15
48,233,SHBint6,1,15
49,287,SsssN,1,15
50,297,SsF,1,15
51,412,minssO,1,15
52,413,minaaO,1,15
53,471,maxHBint6,1,15
54,531,maxssO,1,15
55,592,MAXDP2,1,15
56,616,ETA_BetaP_s,1,15
57,623,ETA_Eta,1,15
58,723,WTPT-4,1,15
59,2,ALogp2,1,15
60,81,SPC-4,1,15
61,94,SP-7,1,15
62,97,VP-2,1,15
63,157,nssssC,1,15
64,174,nssO,1,15
65,197,nsCl,1,15
66,316,SsCl,1,15
67,395,minssssC,1,15
68,589,MAXDP,1,15
69,591,MAXDN2,1,15
70,600,ETA_Epsilon_3,1,15
71,612,ETA_Shape_X,1,15
72,621,ETA_Beta_ns_d,1,15
73,625,ETA_Eta_R,1,15
74,628,ETA_Eta_L,1,15
75,664,MDEO-11,1,15
76,676,MLFER_S,1,15
77,6,nAromBond,1,16
78,87,SP-0,1,16
79,21,ATSc1,1,17
80,48,nBondsD,1,18
81,90,SP-3,1,18
82,43,nBonds,1,19
83,719,MW,1,19
84,269,SaaCH,1,20
85,722,WTPT-3,1,21
86,626,ETA_Eta_F,1,23
87,27,ATSm2,1,24
88,653,McGowan_Volume,1,24
89,678,MLFER_L,1,25
90,346,minHBa,1,26
91,105,ECCEN,1,29
